wbn
1.22301821479107E+033
1.16234291314154E+033
1.07245611200105E+033
1.01011271111103E+033
1.22157281029105E+033
1.22301821134105E+033
1.22302221254106E+033
1.01009571036103E+033
1.22157281284103E+033
1.22158961239105E+033
